Title,Author,Year,Country,Region,Continent,Read,OriginalLanguage,Pages,Description,Tags,Category
The Name of the Rose,Umberto Eco,1980,Italy,Southern Europe,Europe,,Italian,533,"An international sensation and winner of the Premio Strega and the Prix Médicis Etranger awards, this enthralling medieval murder mystery explodes with pyrotechnic inventions, literally as well as figuratively (The New York Times)The year is 1327. Benedictines in a wealthy Italian abbey are suspected of heresy, and Brother William of Baskerville arrives to investigate. When his delicate mission is suddenly overshadowed by seven bizarre deaths, Brother William turns detective. His tools are the logic of Aristotle, the theology of Aquinas, the empirical insights of Roger Bacon -- all sharpened to a glistening edge by wry humor and a ferocious curiosity. He collects evidence, deciphers secret symbols and coded manuscripts, and digs into the eerie labyrinth of the abbey, where the most interesting things happen at night. Like the labyrinthine library at its heart, this brilliant novel has many cunning passages and secret chambers . . . Fascinating . . . ingenious . . . dazzling. --Newsweek",,Novel
History,Elsa Morante,1974,Italy,Southern Europe,Europe,,Italian,630,"Do historians reconstruct the truth--or simply tell stories? Professor John Arnold suggests they do both, and that it’s the balance between the two that matters. In a work of metahistory (the study of history itself), he takes us from the fabulous tales of Greek Herodotus to the varied approaches of modern-day professionals. Through fascinating and particular examples--including a medieval murderer, 17th-century colonist, and ex-slave--Dr. Arnold illuminates our relationship to the past by making us aware of how the very nature of history” has changed.",,Novel
Arturo’s Island,Elsa Morante,1957,Italy,Southern Europe,Europe,,Italian,386,"Elsa Morante's novels are astonishing for the quality of the writing, . . . the complexity of the invented world, the wide-ranging view of the human condition (Elena Ferrante).Once considered the greatest writer of Italy's postwar generation—and admired by authors as varied as John Banville and Rivka Galchen—Elsa Morante is experiencing a literary renaissance, marked not least by Ann Goldstein's translation of Arturo's Island, the novel that brought Morante international fame. Imbued with a spectral grace, as if told through an enchanted looking glass, the novel follows the adolescent Arturo through his days on the isolated Neapolitan island of Procida, where—his mother long deceased, his father often absent, and a dog as his sole companion—he roams the countryside and the beaches or reads in his family's lonely, dilapidated mansion. This quiet, meandering existence is upended when his father brings home a beautiful sixteen-year-old bride,...",,Novel
The Tartar Steppe,Dino Buzzati,1940,Italy,Southern Europe,Europe,,Italian,214,"Idealistic young officer Giovanni Drogo is full of determination to serve his country well. But when he arrives at a bleak border station in the Tartar desert, where he is to take a short assignment at Fort Bastiani, he finds the castle manned by veteran soldiers who have grown old without seeing a trace of the enemy. As his length of service stretches from months into years, he continues to wait patiently for the enemy to advance across the desert, for one great and glorious battle . . . Written in 1938 as the world waited for war, and internationally acclaimed since its publication, The Tartar Steppe is a provocative and frightening tale of hope, longing and the terrible sorcery of dreams and desires.",,Novel
The Time of Indifference,Alberto Moravia,1929,Italy,Southern Europe,Europe,,Italian,500,"In 1929, the fifth year of the Fascist era and the twenty-first year of Alberto Moravia's life, the Italian literary world was stunned by the appearance of his first novel, The Time of Indifference. It is a deceptively simple story – five characters, the events of a few days, the intrigues of families and lovers.The place is Rome. The central figure is Michele, a young man in confused but furious rebellion against the emptiness of bourgeois life. His father is dead; his mother, Mariagrazia, desperately clings to her bored lover, Leo; his sister has no hope of marriage or career and bleakly prepares to give herself to Leo as well. A frequent visitor is Leo's former lover, Lisa, ostensibly Mariagrazia's friend, a woman who feels she is in the final late bloom before age destroys beauty. She longs to make Michele her lover, but he is bored and disgusted by her pretenses, her vanity, her desperation.All five are cast loose on the sea of modern life – obsessed with what they want, what they feel they are owed, the wrongs that have been done them, their loneliness. What Moravia destroys forever in this pitiless novel is the illusion that a world of ever-growing material comfort can ever feed the human soul.",,Novel
Pereira Maintains,Antonio Tabucchi,1994,Italy,Southern Europe,Europe,1,Italian,192,"Review'A masterpiece of compression. A political history of 1930s Portugal, a love story between a man and his dead wife, a gloriously successful formal experiment, and an irresistible thriller - and it can be read with enormous pleasure in a single afternoon.' - Mohsin Hamid 'Pereira Maintains is small only in size. Its themes are great ones - courage, betrayal, fidelity, love, corruption; and its treatment of them is subtle, skilful, and clear. It's so clear, in fact, that you can see a very long way down, into the heart of a flawed but valiant human being, into the sickness of a nation, into the depths of political evil. It's the most impressive novel I've read for years, and one of the very few that feels truly necessary.' - Philip Pullman 'Close to being a perfect novel - brief, tragic, inspiring' - John Carey, Chairman of the International Man Booker 2002 'Pereira is a marvelously complex creation. One of the most intriguing and appealing character studies in recent European fiction.' - Kirkus Reviews Product DescriptionIn the sweltering summer of 1938 in Portugal, a country under the fascist shadow of Spain, a mysterious young man arrives at the doorstep of Dr Pereira. So begins an unlikely alliance that will result in a devastating act of rebellion. This is Pereira's testimony.",,Novel
That Awful Mess on Via Merulana,Carlo Emilio Gadda,1957,Italy,Southern Europe,Europe,,Italian,388,"Set in Rome during the early years of the fascist regime in 1927, this dense, linguistic masterpiece begins with a burglary and a brutal murder in a middle-class apartment building on Via Merulana. The investigation is led by Inspector Ingravallo, a philosophical detective who views crime not as a single action but as a complex knot of infinite causes and human passions. Using a rich, polyphonic blend of Roman dialect, philosophical discourse, and literary pastiche, the novel subverts the traditional detective genre, ending without a neat resolution to reflect the chaotic complexity of reality.",,Novel
The Leopard,Giuseppe Tomasi di Lampedusa,1958,Italy,Southern Europe,Europe,,Italian,259,"Set in the 1860s, The Leopard tells the spellbinding story of a decadent, dying Sicilian aristocracy threatened by the approaching forces of democracy and revolution. The dramatic sweep and richness of observation, the seamless intertwining of public and private worlds, and the grasp of human frailty imbue The Leopard with its particular melancholy beauty and power, and place it among the greatest historical novels of our time. Although Giuseppe di Lampedusa had long had the book in mind, he began writing it only in his late fifties; he died at age sixty, soon after the manuscript was rejected as unpublishable. In his introduction, Gioacchino Lanza Tomasi, Lampedusa's nephew, gives us a detailed history of the initial publication and the various editions that followed. And he includes passages Lampedusa wrote for the book that were omitted by the original Italian editors. Here, finally, is the definitive edition of this brilliant and timeless novel. (Translated from the Italian by Archibald Colquhoun.)",,Novel
Fontamara,Ignazio Silone,1933,Italy,Southern Europe,Europe,,Italian,211,"Set in the fictional, impoverished village of Fontamara in the Abruzzo region of Italy, this powerful realist novel depicts the brutal exploitation of poor peasants (cafoni) under the early fascist regime. The plot follows the villagers as they are systematically swindled out of their scarce water supply by a corrupt, wealthy contractor aligned with the fascist authorities. Through its choral narrative style and dark humor, the novel chronicles the villagers' gradual, tragic rise to political consciousness and their ultimate, violent suppression, serving as a foundational text of anti-fascist literature.",,Novel
The Moon and the Bonfire,Cesare Pavese,1950,Italy,Southern Europe,Europe,,Italian,154,"The nameless narrator of The Moon and the Bonfires, Cesare Pavese's last and greatest novel, returns to Italy from California after the Second World War. He has done well in America, but success hasn't taken the edge off his memories of childhood, when he was an orphan living at the mercy of a bitterly poor farmer. He wants to learn what happened in his native village over the long, terrible years of Fascism; perhaps, he even thinks, he will settle down. And yet as he uncovers a secret and savage history from the war—a tale of betrayal and reprisal, sex and death���he finds that the past still haunts the present.The Moon and the Bonfires is a novel of intense lyricism and tragic import, a masterpiece of twentieth-century literature that has been unavailable to American readers for close to fifty years. Here it appears in a vigorous new English version by R. W. Flint, whose earlier translations of Pavese's fiction were acclaimed by Leslie Fiedler as ""absolutely lucid and completely incantatory.""",,Novel
The Late Mathias Pascal,Luigi Pirandello,1904,Italy,Southern Europe,Europe,,Italian,256,"The novel follows Mattia Pascal, a frustrated, impoverished librarian trapped in a miserable marriage in a dull Italian town. When Mattia wins a fortune at a casino and subsequently discovers that his family has mistakenly identified a drowned corpse as his own, he seizes the opportunity to fake his death and start a new, free life under the name of Adriano Meis in Rome. However, he quickly discovers that having no legal identity prevents him from renting an apartment, opening a bank account, or marrying the woman he loves, forcing a bizarre, tragic return to his old life.",,Novel
If on a Winter’s Night a Traveler,Italo Calvino,1979,Italy,Southern Europe,Europe,,Italian,261,"This extraordinary, postmodern masterpiece is narrated in the second person, following the Reader as they attempt to read Italo Calvino's new novel, only to find that the book has been interrupted by a printing error. In their search for the rest of the text, the Reader meets the Other Reader, Ludmilla, and embarks on a labyrinthine journey through ten different, incomplete novels of varying genres. The novel is a dazzling, highly playful celebration of the relationship between writer and reader, the mechanics of storytelling, and the joy of reading itself.",,Novel
The Garden of the Finzi-Continis,Giorgio Bassani,1962,Italy,Southern Europe,Europe,,Italian,310,"This is a haunting, elegiac novel which captures the mood and atmosphere of Italy (and in particular Ferrara) in the last summers of the thirties, focusing on an aristocratic Jewish family moving imperceptibly towards its doom. Vittorio De Sica turned the book into a film in 1970, winning the Academy Award for Best Foreign Language Film in 1974.",,Novel
"One, No One and One Hundred Thousand",Luigi Pirandello,1926,Italy,Southern Europe,Europe,,Italian,199,,,Novel
A Brief History of Seven Killings,Marlon James,2014,Jamaica,Caribbean,North America,,English,688,"On December 3, 1976, just before the Jamaican general election and two days before Bob Marley was to play the Smile Jamaica Concert, gunmen stormed his house, machine guns blazing. The attack nearly killed the Reggae superstar, his wife, and his manager, and injured several others. Marley would go on to perform at the free concert on December 5, but he left the country the next day, not to return for two years.Deftly spanning decades and continents and peopled with a wide range of characters—assassins, journalists, drug dealers, and even ghosts—A Brief History of Seven Killings is the fictional exploration of that dangerous and unstable time and its bloody aftermath, from the streets and slums of Kingston in the 70s, to the crack wars in 80s New York, to a radically altered Jamaica in the 90s. Brilliantly inventive and stunningly ambitious, this novel is a revealing modern epic that will secure Marlon James’ place among the great literary talents of his generation.",,Novel
Kappa,Ryunosuke Akutagawa,1927,Japan,Eastern Asia,Asia,,Japanese,136,,,Novella
Botchan,Natsume Soseki,1906,Japan,Eastern Asia,Asia,,Japanese,160,,,Novel
The Sound of the Mountain,Yasunari Kawabata,1949,Japan,Eastern Asia,Asia,,Japanese,286,,,Novel
The Memory Police,Yoko Ogawa,1994,Japan,Eastern Asia,Asia,,Japanese,288,"A haunting Orwellian novel about the terrors of state surveillance, from the acclaimed author of The Housekeeper and the Professor. On an unnamed island off an unnamed coast, objects are disappearing: first hats, then ribbons, birds, roses--until things become much more serious. Most of the island's inhabitants are oblivious to these changes, while those few imbued with the power to recall the lost objects live in fear of the draconian Memory Police, who are committed to ensuring that what has disappeared remains forgotten. When a young woman who is struggling to maintain her career as a novelist discovers that her editor is in danger from the Memory Police, she concocts a plan to hide him beneath her floorboards. As fear and loss close in around them, they cling to her wiring as the last way of preserving the past. A surreal, provocative fable about the power of memory and the trauma of loss, The Memory Police is a stunning new work from one of the most exciting contemporary authors writing in any language.",,Novel
Coin Locker Babies,Ryu Murakami,1980,Japan,Eastern Asia,Asia,,Japanese,393,"A surreal coming-of-age tale that establishes Ryu Murakami as one of the most inventive young writers in the world today. Abandoned at birth in adjacent train station lockers, two troubled boys spend their youth in an orphanage and with foster parents on a semi-deserted island before finally setting off for the city to find and destroy the women who first rejected them. Both are drawn to an area of freaks and hustlers called Toxitown. One becomes a bisexual rock singer, star of this exotic demimonde, while the other, a pole vaulter, seeks his revenge in the company of his girlfriend, Anemone, a model who has converted her condominium into a tropical swamp for her pet crocodile. Together and apart, their journey from a hot metal box to a stunning, savage climax is a brutal funhouse ride through the eerie landscape of late-twentieth-century Japan. Sobre o Autor RYU MURAKAMI was born in 1952. The only son of schoolteacher parents, he grew up in the port city of Sasebo in southwestern Japan. After graduating from a local high school, where he played the drums in a band called Coelacanth, he went to an art college in Tokyo. It was while studying there that he entered his first novel, Almost Transparent Blue, in a competition for new writers. Published in 1976, the book won a major literary award and sold over a million copies. Since then, he has worked for a publishing house, presented a weekly music and interview radio program, and hosted a TV talk show. His literary output includes two collections of stories Run, Takahashi (1985) and Topaz (1980), which made its debut in English early in 1995. His roman a clef 69 appeared in English in 1993. He has also directed four movies based on his writing, causing a sensation at an Italian film festival when Tokyo Decadence was shown there in 1992. His latest film is set in the U.S. and Cuba. STEPHEN SNYDER, the translator, is Professor of Japanese Studies at the University of Colorado at Boulder. Among his first-rate translations from Japanese are Kunio Tsuji's The Signore: Shogun of the Warring States, which won the Japan-U.S. Friendship Commission Prize; Ryu Murakami's Coin Locker Babies; Kenzaburo Oe's A Healing Family; and the forthcoming Out by Natsuo Kirino.",,Novel
Black Rain,Masuji Ibuse,1966,Japan,Eastern Asia,Asia,,Japanese,300,"Black Rain' is centered around the story of a young woman who was caught in the radioactive black rain that fell after the bombing of Hiroshima. Ibuse bases his tale on the real-life diaries and interviews with victims of the holocaust; the result is a book that is free from sentimentality yet manages to reveal the magnitude of the human suffering caused by the atom bomb. The life of Yasuko, on whom the black rain fell, is changed forever by periodic bouts of radiation sickness and the suspicion that her future children, too, may be affected. Ibuse tempers the horror of his subject with the gentle humor for which he is famous. His sensitivity to the complex web of emotions in a traditional community torn asunder by this historical event has made 'Black Rain' one of the most acclaimed treatments of the Hiroshima story.",,Novel
Some Prefer Nettles,Junichiro Tanizaki,1928,Japan,Eastern Asia,Asia,,Japanese,202,"English translation of 22 tales include ghouls, goblins and ogres; sea serpents and sea kings; kindly animals and magic birds; demons and dragons; princes and princesses. Some are Momotaro, The Son of a Peach, The Jellyfish and the Monkey, The Mirror of Matsuyama, The Bamboo Cutter and the Moon Child, The Stones of Five Colors and the Empress Jokwa.",,Novel
A Personal Matter,Kenzaburo Oe,1964,Japan,Eastern Asia,Asia,,Japanese,165,"From the Nobel Prize–winning author: “One of the great short novels of the 20th century” (The Wall Street Journal). Internationally acclaimed as one of the world’s most influential writers, Kenzaburō Ōe brings to the fore the post-WWII rage and anxiety of a decorous society in this “deathly black comedy . . . dripping with nuclear terror” (The Japan Times). Bird is an antisocial twenty-seven-year-old intellectual hanging on to a failing marriage with whiskey. He dreams of going to Africa where the sky sprawls with possibilities. Then, as though walloped by a massive invisible fist, Bird’s Utopian fantasies are shattered when his wife gives birth to what he calls their “monster baby.” Now, Bird is left with one question: How can he and his wife spend the rest of their lives with this damaged thing clinging to their backs? As shameful, disgraceful, and unthinkable a desire as it is, Bird has an answer. Not sealed. Not just yet. Not before Bird flees on a bender of indiscriminate (and frustratingly impotent) sex, hard liquor, self-delusion, and most terrifying of all—self-discovery. “Very close to a perfect contemporary novel.” —The New York Times “An astonishing novel.” ���Mother Jones",,Novel
The Makioka Sisters,Junichiro Tanizaki,1948,Japan,Eastern Asia,Asia,,Japanese,530,"In Osaka in the years immediately before World War II, four aristocratic women try to preserve a way of life that is vanishing. As told by Junichiro Tanizaki, the story of the Makioka sisters forms what is arguably the greatest Japanese novel of the twentieth century, a poignant yet unsparing portrait of a family–and an entire society–sliding into the abyss of modernity.Tsuruko, the eldest sister, clings obstinately to the prestige of her family name even as her husband prepares to move their household to Tokyo, where that name means nothing. Sachiko compromises valiantly to secure the future of her younger sisters. The unmarried Yukiko is a hostage to her family’s exacting standards, while the spirited Taeko rebels by flinging herself into scandalous romantic alliances. Filled with vignettes of upper-class Japanese life and capturing both the decorum and the heartache of its protagonist, The Makioka Sisters is a classic of international literature.From the Hardcover edition.Amazon.com ReviewThe four Makioka sisters lead very complicated, strenuous lives, although on the surface nothing much ever happens to them. Part of a fading Japanese aristocracy in the years leading up to World War II, they cannot escape the wide net of the family name--something always brings them back to the reality of being a Makioka. Running out of money, living in falling-apart houses, growing older beneath the sunlight of the modern world, they do their best to preserve the rituals of the past. The two older sisters work diligently to arrange a marriage for the third sister, Yukiko. Desperate to find someone to take care of her, they keep lowering their standards. One night they find themselves out with a drunk, selfish crackpot who has no money, but who is supposed to be related to a man who works for an important utility company. The fact that he is even a candidate for their sister's hand is a sign of how far they have fallen.There are other signs in this remarkable, utterly compelling Japanese epic. At one point, a flood overwhelms their small town of Osaka. The youngest sister, Taeko, is having tea at the impeccably decorated home where her sewing teacher, Mrs. Tamaki, lives with her son Hiroshi. When the rain first appears beneath the door, the three were still rather enjoying themselves, shouting at each other in the best of spirits. They all had a good laugh when Hiroshi, reaching to grab the briefcase in which he had brought home his school books, bumped his head on the bobbing radio. But after perhaps a half hour, there came a moment when the three fell silent. Almost immediately, Taeko remembered afterwards, the water was above her waist. As she clutched at a curtain, a picture fell from over her head; the curtain had probably brushed against it. It was a picture Mrs. Tamaki was especially fond of.Junichiro Tanizaki wrestled throughout his career with the idea of a country where tribes of aristocrats live as relics, grasping at the past through gestures, manners, small and intricate private laws. The narrative suspense of The Makioka Sisters is rooted in this single-minded nostalgia, this strict attention to the details of domestic life as the outer world becomes more and more incomprehensible. Pages are devoted to musing about whether Yukiko should risk meeting a potential husband when there is a spot above her eye--maybe she should play it safe and go to the doctor about it; maybe the potential husband will interpret it as bad luck. Tanizaki manages to make the struggle over this small, dark spot wildly compelling. I could not sleep until I discovered its fate.If epic literature is based in the dramatic and forward-moving narrative of a male hero's journey, The Makioka Sisters is a female epic of inaction--trying to figure out what to wear, crying for no reason at the same time every afternoon. With each perilous, pathetic step, the sisters are heroes setting out for the new world. They're like Odysseus, except without the ship and without the sea. --Emily WhiteReviewPraise for Junichiro Tanizaki's The Makioka Sisters“A masterpiece of great beauty and quality.��� –Chicago Tribune“Skillfully and subtly, Tanizaki brushes in a delicate picture of a gentle world that no longer exists.” –San Francisco ChronicleFrom the Hardcover edition.",,Novel
The Wind-Up Bird Chronicle,Haruki Murakami,1995,Japan,Eastern Asia,Asia,,Japanese,607,"Japan's most highly regarded novelist now vaults into the first ranks of international fiction writers with this heroically imaginative novel, which is at once a detective story, an account of a disintegrating marriage, and an excavation of the buried secrets of World War II.In a Tokyo suburb a young man named Toru Okada searches for his wife's missing cat. Soon he finds himself looking for his wife as well in a netherworld that lies beneath the placid surface of Tokyo. As these searches intersect, Okada encounters a bizarre group of allies and antagonists: a psychic prostitute; a malevolent yet mediagenic politician; a cheerfully morbid sixteen-year-old-girl; and an aging war veteran who has been permanently changed by the hideous things he witnessed during Japan's forgotten campaign in Manchuria.Gripping, prophetic, suffused with comedy and menace, The Wind-Up Bird Chronicle is a tour de force equal in scope to the masterpieces of Mishima and Pynchon.",,Novel
The Woman in the Dunes,Kobo Abe,1962,Japan,Eastern Asia,Asia,,Japanese,239,"Kōbō Abe, a pseudonym of Kimifusa Abe, was a Japanese writer, playwright, photographer and inventor. One of the premier Japanese novels of the twentieth century, The Women in the Dunes (first published in 1962) combines the essence of myth, suspense, and the existential novel. SUMMARY: In a remote seaside village, Niki Jumpei, a teacher and amateur entomologist, is held captive with a young woman at the bottom of a vast sand pit where, Sisyphus-like, they are pressed into shoveling off the ever-advancing sand dunes that threaten the village.",,Novel
The Temple of the Golden Pavilion,Yukio Mishima,1956,Japan,Eastern Asia,Asia,,Japanese,262,"Mizoguchi has been mentally troubled since he witnessed his mother's infidelity in the presence of his dying father. Mizoguchi feels utterly abandoned and alone until he becomes a pdest at Kinka-kuji, a famous Buddhist temple in Kyoto. Failing in his quest to find the warmth of human companionship in the temple, the young man, tormented by the temple's exquisite beauty, decides to destroy himself and all he loves. He feels he cannot live in peace as long as the temple exists. Mizoguchi, like many other troubled Mishima heroes, becomes obsessed with unattainable ideals. The Temple of the Golden Pavilion reflects Mishima's preoccupations with beauty and death in a clear and unmistakable manner. It is also an excellent example of a theme that frequently arises in Mishima's work: the resentment of the obj ect of desire. Because this novel, arguably Mishima's best, reflects the author's suicidal tendencies, it also offers us insight into one of the twentieth century's greatest and most complex literary icons.",,Novel
The Wild Geese,Mori Ogai,1911,Japan,Eastern Asia,Asia,,Japanese,128,"n The Wild Geese , prominent Japanese novelist Ogai Mori offers a poignant story of unfulfilled love, set against the background of the dizzying social change accompanying the fall of the Meiji regime. The young heroine, Otama, is forced by poverty to become a moneylender's mistress. She is surrounded by skillfully-drawn characters—her weak-willed father, her virile and calculating lover (and his suspicious wife), and the handsome student who is both the object of her desire, and the symbol of her rescue—as well as a colorful procession of Meiji era figures—geisha, students, entertainers, unscrupulous matchmakers, shopkeepers, and greedy landladies. Like those around her, and like the wild geese of the title, Otama yearns for the freedom of flight. Her dawning consciousness of her predicament brings the novel to a touching climax. Written in 1913, The Wild Geese enjoyed such success in Japan that it was made into a film, shown abroad as The Mistress .",,Novella
Kokoro,Natsume Soseki,1914,Japan,Eastern Asia,Asia,,Japanese,272,"No collection of Japanese literature is complete without Natsume Soseki's Kokoro, his most famous novel and the last he complete before his death. Published here in the first new translation in more than fifty years, Kokoro��meaning heart—is the story of a subtle and poignant friendship between two unnamed characters, a young man and an enigmatic elder whom he calls Sensei. Haunted by tragic secrets that have cast a long shadow over his life, Sensei slowly opens up to his young disciple, confessing indiscretions from his own student days that have left him reeling with guilt, and revealing, in the seemingly unbridgeable chasm between his moral anguish and his student's struggle to understand it, the profound cultural shift from one generation to the next that characterized Japan in the early twentieth century.",,Novel
Snow Country,Yasunari Kawabata,1948,Japan,Eastern Asia,Asia,1,Japanese,179,"Nobel Prize winner Yasunari Kawabata’s Snow Country is widely considered to be the writer’s masterpiece: a powerful tale of wasted love set amid the desolate beauty of western Japan. At an isolated mountain hot spring, with snow blanketing every surface, Shimamura, a wealthy dilettante meets Komako, a lowly geisha. She gives herself to him fully and without remorse, despite knowing that their passion cannot last and that the affair can have only one outcome. In chronicling the course of this doomed romance, Kawabata has created a story for the ages — a stunning novel dense in implication and exalting in its sadness.",,Novel
No Longer Human,Osamu Dazai,1948,Japan,Eastern Asia,Asia,1,Japanese,187,"Osamu Dazai's No Longer Human, this leading postwar Japanese writer's second novel, tells the poignant and fascinating story of a young man who is caught between the breakup of the traditions of a northern Japanese aristocratic family and the impact of Western ideas. In consequence, he feels himself disqualified from being human (a literal translation of the Japanese title). Donald Keene, who translated this and Dazai's first novel, The Setting Sun, has said of the author's work: His world . . . suggests Chekhov or possibly postwar France, . . . but there is a Japanese sensibility in the choice and presentation of the material. A Dazai novel is at once immediately intelligible in Western terms and quite unlike any Western book. His writing is in some ways reminiscent of Rimbaud, while he himself has often been called a forerunner of Yukio Mishima.",,Novel
The Waiting Years,Fumiko Enchi,1957,Japan,Eastern Asia,Asia,,Japanese,208,"Set in Meiji-era Tokyo, this elegant, devastating novel follows Tomo, the dignified wife of a high-ranking, wealthy government official, Shirakawa. Under her husband's absolute authority, Tomo is forced to travel to Tokyo to purchase a young concubine for him, and subsequently manages a household where she must live alongside his mistresses while preserving the family's public respectability. Through Tomo's quiet, lifelong suffering and ultimate rebellion, Enchi exposes the extreme oppression, emotional violence, and structural subjugation of women in traditional patriarchal Japan.",,Novel
The Cape,Kenji Nakagami,1976,Japan,Eastern Asia,Asia,,Japanese,200,"Set in the rugged Kishu peninsula, this Akutagawa Prize-winning novel follows Akiyuki, a young construction worker who belongs to the burakumin, Japan's traditional outcaste class. The narrative explores the complex, suffocating web of incestuous relationships, illegitimate births, and violent rivalries within Akiyuki's sprawling family. Through dense, visceral realism, Nakagami dissects the psychological scars, systemic discrimination, and generational trauma that trap the outcastes of modern Japanese society in a cycle of poverty and despair.",,Novel
Silence,Shusaku Endo,1966,Japan,Eastern Asia,Asia,,Japanese,294,"Silence is a 1966 novel of historical fiction by Japanese author Shūsaku Endō. It is the story of a Portuguese Jesuit missionary sent to 17th-century Japan, who endures persecution in the era of Kakure Kirishitan ('Hidden Christians') that followed the defeat of the Shimabara Rebellion.",,Novel
The Twilight Years,Sawako Ariyoshi,1972,Japan,Eastern Asia,Asia,,Japanese,216,"This ground-breaking, highly realistic Japanese novel follows Shige, a hardworking, middle-aged working woman who must care for her senile, eighty-four-year-old father-in-law, Shigezo, after his wife dies suddenly. Shige struggles to manage her demanding professional career, her domestic responsibilities, and the severe physical and mental decline of the elderly man, receiving little support from her husband or son. The novel was a massive bestseller in Japan, praised for its courageous, detailed dissection of the aging crisis, the lack of state social services, and the extreme domestic burdens placed on Japanese women.",,Novel
Territory of Light,Yukio Tsushima,1979,Japan,Eastern Asia,Asia,,Japanese,192,"Wonderfully poetic ... extraordinary freshness ... a Virginia Woolf quality' Margaret Drabble It is Spring. A young woman, left by her husband, starts a new life in a Tokyo apartment. Territory of Light follows her over the course of a year, as she struggles to bring up her two-year-old daughter alone. Her new home is filled with light, streaming through the windows, so bright you have to squint, but she finds herself plummeting deeper into darkness; becoming unstable, untethered. As the months come and go, and the seasons turn, she must confront what she has lost and what she will become. At once tender and lacerating, luminous and unsettling, Territory of Light is a novel of abandonment, desire and transformation. It was originally published in twelve parts in the Japanese literary monthly Gunzo, between 1978 and 1979, each chapter marking the months in real time. Descrição do produto 'Wonderfully poetic ... extraordinary freshness ... a Virginia Woolf quality' Margaret Drabble It is Spring. A young woman, left by her husband, starts a new life in a Tokyo apartment. Territory of Light follows her over the course of a year, as she struggles to bring up her two-year-old daughter alone. Her new home is filled with light, streaming through the windows, so bright you have to squint, but she finds herself plummeting deeper into darkness; becoming unstable, untethered. As the months come and go, and the seasons turn, she must confront what she has lost and what she will become. At once tender and lacerating, luminous and unsettling, Territory of Light is a novel of abandonment, desire and transformation. It was originally published in twelve parts in the Japanese literary monthly Gunzo, between 1978 and 1979, each chapter marking the months in real time. Capa Interna 'I was puzzled by how I had changed. But I could no longer go back...' It is Spring. A young woman, left by her husband, starts a new life in a Tokyo apartment. Territory of Light follows her over the course of a year, as she struggles to bring up her two-year-old daughter alone. Her new home is filled with light, streaming through the windows, so bright you have to squint, but she finds herself plummeting deeper into darkness; becoming unstable, untethered. As the months come and go, and the seasons turn, she must confront what she has lost and what she will become. At once tender and lacerating, luminous and unsettling, Territory of Light is a novel of abandonment, desire and transformation. It was originally published in twelve parts in the Japanese literary monthly Gunzo, between 1978 and 1979, each chapter marking the months in real time. Its author, Yuko Tsushima, was born in Tokyo in 1947, the daughter of the novelist Osamu Dazai, who died when she was one. Territory of Light (Hikari no Ry­obun) won the inaugural Noma Literary Prize, and Tsushima went on to win many awards over the course of her career. She died in February 2016.",,Novel
Fires on the Plain,Shohei Ooka,1951,Japan,Eastern Asia,Asia,,Japanese,246,"Written with precise skill and beautifully controlled power. The translation by Ivan Morris is outstanding. —The New York TimesWinner of the 1952 Yomiuri PrizeThis haunting novel explores the complete degradation and isolation of a man by war. Fires on the Plain is set on the island of Leyte in the Philippines during World War II, where the Japanese army is disintegrating under the hammer blows of the American landings. Within this broader disintegration is another, that of a single human being, Private Tamura. The war destroys each of his ties to society, one by one, until Tamura, a sensitive and intelligent man, becomes an outcast.Nearly losing the will to survive, he hears of a port still in Japanese hands and struggles to walk through the American lines. Unfazed by danger, he welcomes the prospect of dying, but first, he loses his hope, and then his sanity. Lost among his hallucinations, Tamura comes to fancy himself an angel enjoined by God to eat no living thing—but even angels fall.Tamura is never less than human, even when driven to the ultimate sin against humanity. Shocking as the outward events are, the greatness of the novel lies in its uplifting vision during a time of crushing horror. As relevant today as when it was originally published, Fires on the Plain will strike a chord with anyone who has lived through the horrors of war.",,Novel
The Sailor who Fell from Grace with the Sea,Yukio Mishima,1963,Japan,Eastern Asia,Asia,,Japanese,181,,,Novel
The Tale of Genji,Murasaki Shikibu,1008,Japan,Eastern Asia,Asia,,Japanese,302,,,Novel
The Silent Cry,Kenzaburo Oe,1967,Japan,Eastern Asia,Asia,,Japanese,288,,,Novel
Convenience Store Woman,Sayaka Murata,2016,Japan,Eastern Asia,Asia,1,Japanese,163,,,Novel
The Setting Sun,Osamu Dazai,1947,Japan,Eastern Asia,Asia,,Japanese,189,,,Novel
Floating Clouds,Fumiko Hayashi,1951,Japan,Eastern Asia,Asia,,Japanese,328,,,Novel
The Box Man,Kobo Abe,1973,Japan,Eastern Asia,Asia,,Japanese,185,,,Novel
Cities of Salt,Abdelrahman Munif,1984,Jordan,Western Asia,Asia,,Arabic,627,"Set in an unnamed Persian Gulf oasis, this epic novel chronicles the profound disruption of traditional Bedouin society following the discovery of oil by American corporations. The story focuses on Miteb al-Hathal, a tribal leader who resists the rapid destruction of his homeland and the emergence of a ruthless, oil-funded dictatorship. Through vivid prose, the novel explores the themes of cultural displacement, imperialist greed, and the rapid, jarring transition from pastoral life to industrial capitalism.",,Novel
Abai,Mukhtar Auezov,1942,Kazakhstan,Central Asia,Asia,,Kazakh,700,,,Novel
Blood and Sweat,Abdijamil Nurpeisov,1973,Kazakhstan,Central Asia,Asia,,Kazakh,600,,,Novel
